Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
FFAR1	FFA1R, GPR40	ENSG00000126266	Free fatty acid receptor 1	19	35351552-35353862	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level							Tissue enriched	Tissue enhanced		bone marrow: 1.9	ovary: 1.2	Cell line enhanced		U-698: 1.1
FGA		ENSG00000171560	Fibrinogen alpha chain	4	154583126-154590766	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB016776, HPA051370, HPA064755	Supported				Renal cancer:4.23e-6 (unfavourable), Liver cancer:7.33e-4 (favourable)	Tissue enriched	Tissue enriched	237	liver: 9265.4	stomach: 39.0	Cell line enriched	11	Hep G2: 285.6
FGF1	AFGF, ECGF, ECGF-beta, ECGFA, ECGFB, FGF-alpha, FGFA, GLIO703, HBGF1	ENSG00000113578	Fibroblast growth factor 1	5	142592178-142698070	Cancer-related genes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA003265, CAB017519	Enhanced				Renal cancer:2.59e-5 (favourable), Thyroid cancer:3.45e-5 (favourable)	Tissue enriched	Tissue enhanced		cerebral cortex: 129.9;kidney: 59.4	heart muscle: 32.8	Cell line enhanced		BJ: 37.6;BJ hTERT+ SV40 Large T+: 33.4;BJ hTERT+ SV40 Large T+ RasG12V: 43.9;HBF TERT88: 62.3;hTEC/SVTERT24-B: 45.5;U-2 OS: 33.6
FGF2	FGFB	ENSG00000138685	Fibroblast growth factor 2	4	122826708-122898236	Cancer-related genes, Candidate cardiovascular disease genes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB000125	Approved		Supported	Nucleoplasm<br>Nuclear bodies	Pancreatic cancer:9.85e-4 (unfavourable)	Mixed	Mixed			adipose tissue: 26.1	Cell line enhanced		BJ: 206.0;fHDF/TERT166: 215.4
FGFR1	BFGFR, CD331, CEK, FLG, FLT2, H2, H3, H4, H5, KAL2, N-SAM	ENSG00000077782	Fibroblast growth factor receptor 1	8	38411138-38468834	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB033614, HPA056402, HPA076274	Approved		Supported	Nucleoli		Expressed in all	Expressed in all			cervix, uterine: 109.5	Cell line enhanced		AN3-CA: 602.2
FGFR2	BEK, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25	ENSG00000066468	Fibroblast growth factor receptor 2	10	121478334-121598458	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB010886, HPA035305, HPA056562	Uncertain		Approved	Vesicles	Cervical cancer:8.79e-4 (favourable), Head and neck cancer:9.32e-4 (favourable)	Expressed in all	Mixed			skin: 129.4	Cell line enhanced		AN3-CA: 169.6;BEWO: 58.8;HAP1: 61.4;NTERA-2: 58.4
FGFR3	ACH, CD333, CEK2, JTK4	ENSG00000068078	Fibroblast growth factor receptor 3	4	1793307-1808872	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB004231, HPA067204	Enhanced		Supported	Endoplasmic reticulum	Endometrial cancer:3.77e-4 (unfavourable)	Expressed in all	Tissue enriched	7	skin: 333.1	cerebral cortex: 49.4	Cell line enhanced		CACO-2: 41.4;Hep G2: 56.1;NTERA-2: 37.4;RT4: 81.0
FGFR4	CD334, JTK2	ENSG00000160867	Fibroblast growth factor receptor 4	5	177086886-177098144	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB005196, HPA027273, HPA027369, HPA028251	Approved					Mixed	Tissue enhanced		lung: 38.9	duodenum: 21.4	Cell line enhanced		CACO-2: 142.3;Hep G2: 118.3;RH-30: 260.0
FKBP1A	FKBP-12, FKBP1, FKBP12, FKBP12C, PKC12, PPIASE	ENSG00000088832	FK506 binding protein 1A	20	1368978-1393172	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB004639, HPA051798	Uncertain				Liver cancer:3.44e-7 (unfavourable), Renal cancer:6.69e-5 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 369.7	Expressed in all		
FLT1	FLT, VEGFR1	ENSG00000102755	Fms related tyrosine kinase 1	13	28300344-28495145	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA011740, HPA014290, CAB068189, CAB068190	Enhanced		Supported	Plasma membrane<br>Actin filaments	Renal cancer:2.19e-4 (unfavourable)	Expressed in all	Tissue enriched	8	placenta: 622.5	thyroid gland: 81.9	Cell line enhanced		BJ: 61.1;HMC-1: 308.1;WM-115: 126.2
FLT3	CD135, FLK2, STK1	ENSG00000122025	Fms related tyrosine kinase 3	13	28003274-28100592	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA047539			Approved	Endoplasmic reticulum		Tissue enhanced	Tissue enhanced		lymph node: 7.0;spleen: 7.7	appendix: 3.9	Group enriched	14	REH: 38.7;THP-1: 17.4
FLT4	PCL, VEGFR3	ENSG00000037280	Fms related tyrosine kinase 4	5	180601506-180649624	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB000099, HPA046519, HPA067906	Approved		Enhanced	Nuclear speckles<br>Plasma membrane<br>Cell Junctions		Expressed in all	Mixed			spleen: 18.3	Cell line enhanced		BEWO: 11.8;HEK 293: 14.1;T-47d: 13.7;TIME: 12.7
FN1	CIG, FINC, GFND2, LETS, MSF	ENSG00000115414	Fibronectin 1	2	215360440-215436172	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB000126, HPA027066	Enhanced				Renal cancer:3.44e-8 (unfavourable), Stomach cancer:8.82e-5 (unfavourable), Urothelial cancer:3.33e-4 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 4284.3	lung: 1167.5	Cell line enhanced		ASC TERT1: 24376.9;HSkMC: 11926.5;hTERT-HME1: 7509.7
FOLH1	FOLH, GCP2, GCPII, NAALAD1, NAALAdase, PSM, PSMA	ENSG00000086205	Folate hydrolase 1	11	49146635-49208670	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB001451, HPA010593	Enhanced				Renal cancer:1.30e-6 (unfavourable), Endometrial cancer:5.24e-5 (favourable), Liver cancer:4.25e-4 (favourable)	Tissue enriched	Group enriched	6	duodenum: 298.8;prostate: 136.6;small intestine: 90.8	cerebral cortex: 31.0	Mixed		
FRK	GTK, PTK5, RAK	ENSG00000111816	Fyn related Src family tyrosine kinase	6	115931149-116060758	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB025217, HPA030479	Approved		Supported	Nucleus<br>Cytosol	Renal cancer:9.66e-7 (favourable)	Mixed	Mixed			kidney: 10.0	Mixed		
FSHR	FSHRO, LGR1, ODG1	ENSG00000170820	Follicle stimulating hormone receptor	2	48962157-49154537	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level							Not detected	Group enriched	9	ovary: 2.5;testis: 4.3	gallbladder: 0.3	Not detected		
FTH1	FHC, FTH, FTHL6, PIG15, PLIF	ENSG00000167996	Ferritin heavy chain 1	11	61959718-61967660	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB008623	Approved		Approved	Microtubules	Renal cancer:5.20e-5 (unfavourable), Head and neck cancer:7.56e-5 (unfavourable), Liver cancer:6.18e-4 (unfavourable)	Expressed in all	Expressed in all			appendix: 4962.3	Expressed in all		
FTL	MGC71996, NBIA3	ENSG00000087086	Ferritin light chain	19	48965301-48966878	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB020769, HPA041602	Enhanced		Approved	Cytosol	Renal cancer:4.40e-5 (unfavourable)	Expressed in all	Expressed in all			lung: 8050.1	Expressed in all		
FXYD2	ATP1G1, HOMG2, MGC12372	ENSG00000137731	FXYD domain containing ion transport regulator 2	11	117800844-117828698	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA064218, HPA068838	Supported		Approved	Mitochondria	Renal cancer:3.23e-9 (favourable)	Tissue enriched	Group enriched	6	gallbladder: 571.3;kidney: 1433.1;salivary gland: 380.4	pancreas: 134.6	Group enriched	24	MOLT-4: 1801.2;RPTEC TERT1: 3683.4
GAA		ENSG00000171298	Glucosidase alpha, acid	17	80101556-80119879	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA026970, HPA029126	Enhanced				Colorectal cancer:7.66e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 69.7	Mixed		
GABBR1	GPRC3A, hGB1a	ENSG00000204681	Gamma-aminobutyric acid type B receptor subunit 1	6	29555629-29633976	FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA050483, HPA058459	Uncertain		Approved	Centrosome	Renal cancer:3.77e-10 (unfavourable), Pancreatic cancer:2.54e-5 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 20.8	spleen: 13.1	Cell line enhanced		U-2 OS: 6.7
GABBR2	GABABR2, GPR51, GPRC3B, HG20	ENSG00000136928	Gamma-aminobutyric acid type B receptor subunit 2	9	98288082-98709197	FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA013820, HPA031684, CAB079065	Enhanced	Approved				Group enriched	Tissue enriched	18	cerebral cortex: 77.9	adrenal gland: 4.3	Cell line enhanced		BJ: 11.3;HUVEC TERT2: 22.8;U-138 MG: 10.3
GABRA1	EJM5	ENSG00000022355	Gamma-aminobutyric acid type A receptor alpha1 subunit	5	161847063-161899981	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB022502, HPA055746	Enhanced					Tissue enriched	Tissue enriched	46	cerebral cortex: 85.0	adrenal gland: 1.8	Not detected		
GABRA2		ENSG00000151834	Gamma-aminobutyric acid type A receptor alpha2 subunit	4	46248427-46475230	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB079061		Supported				Tissue enhanced	Tissue enriched	7	cerebral cortex: 74.3	epididymis: 11.3	Cell line enhanced		U-2 OS: 4.9;U-87 MG: 2.2;WM-115: 2.5
GABRA3		ENSG00000011677	Gamma-aminobutyric acid type A receptor alpha3 subunit	X	152166234-152451358	FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA000839	Approved	Supported				Tissue enriched	Tissue enriched	7	cerebral cortex: 28.8	placenta: 4.1	Cell line enhanced		HMC-1: 7.4;Karpas-707: 10.3;PC-3: 7.8;U-2 OS: 7.3;U-266/84: 9.5;U-87 MG: 8.1
GABRA4		ENSG00000109158	Gamma-aminobutyric acid type A receptor alpha4 subunit	4	46918900-46994407	FDA approved drug targets, Predicted membrane proteins	Evidence at protein level							Not detected	Tissue enriched	9	cerebral cortex: 15.1	heart muscle: 1.6	Cell line enriched	127	REH: 12.7
GABRA5		ENSG00000186297	Gamma-aminobutyric acid type A receptor alpha5 subunit	15	26866363-26949207	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA077031, CAB079022		Supported	Supported	Plasma membrane		Mixed	Tissue enriched	43	cerebral cortex: 81.6	esophagus: 1.8	Group enriched	10	A549: 32.7;HAP1: 12.7;NTERA-2: 14.6;U-2 OS: 13.1
GABRA6		ENSG00000145863	Gamma-aminobutyric acid type A receptor alpha6 subunit	5	161547063-161702593	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	CAB022462	Approved					Not detected	Tissue enhanced		testis: 1.1	cerebral cortex: 0.3	Not detected		
GABRB1		ENSG00000163288	Gamma-aminobutyric acid type A receptor beta1 subunit	4	46993723-47426444	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA051297	Uncertain					Tissue enhanced	Tissue enriched	12	cerebral cortex: 19.7	heart muscle: 1.5	Cell line enhanced		REH: 1.4;U-87 MG: 2.4
GABRB2		ENSG00000145864	Gamma-aminobutyric acid type A receptor beta2 subunit	5	161288429-161549044	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB001964, HPA067632	Enhanced					Tissue enriched	Tissue enriched	12	cerebral cortex: 62.8	epididymis: 5.2	Cell line enriched	17	SCLC-21H: 27.6
GABRB3		ENSG00000166206	Gamma-aminobutyric acid type A receptor beta3 subunit	15	26543546-26939539	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level							Mixed	Tissue enhanced		cerebral cortex: 78.3	gallbladder: 21.5	Cell line enhanced		A549: 61.5;HAP1: 28.7;NTERA-2: 48.0;SCLC-21H: 51.8
GABRD		ENSG00000187730	Gamma-aminobutyric acid type A receptor delta subunit	1	2019298-2030758	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA044371	Enhanced		Uncertain	Golgi apparatus<br>Vesicles	Renal cancer:4.12e-8 (unfavourable)	Expressed in all	Tissue enriched	12	cerebral cortex: 34.0	testis: 2.7	Cell line enhanced		EFO-21: 1.3;MCF7: 3.1;NB-4: 1.6;SH-SY5Y: 1.6
GABRE		ENSG00000102287	Gamma-aminobutyric acid type A receptor epsilon subunit	X	151953124-151974680	FDA approved drug targets, Predicted membrane proteins	Evidence at transcript level	HPA045918	Uncertain				Renal cancer:4.05e-11 (unfavourable)	Mixed	Tissue enhanced		adipose tissue: 10.1	heart muscle: 6.4	Cell line enhanced		EFO-21: 10.9;HeLa: 3.5;SiHa: 5.9
GABRG1		ENSG00000163285	Gamma-aminobutyric acid type A receptor gamma1 subunit	4	46035769-46124081	FDA approved drug targets, Predicted membrane proteins	Evidence at transcript level	HPA035622	Approved					Tissue enriched	Tissue enriched	17	cerebral cortex: 26.0	ovary: 1.5	Cell line enhanced		U-266/70: 1.1
GABRG2		ENSG00000113327	Gamma-aminobutyric acid type A receptor gamma2 subunit	5	162000057-162162977	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB079060		Supported				Tissue enhanced	Tissue enriched	12	cerebral cortex: 66.5	adrenal gland: 5.3	Cell line enhanced		CACO-2: 11.6;U-266/70: 17.2;U-266/84: 13.6
GABRG3		ENSG00000182256	Gamma-aminobutyric acid type A receptor gamma3 subunit	15	26971282-27541991	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA054010	Supported					Tissue enhanced	Tissue enhanced		prostate: 10.6;testis: 16.5	cerebral cortex: 4.2	Cell line enhanced		K-562: 4.0;PC-3: 5.1;U-87 MG: 14.0
GABRP		ENSG00000094755	Gamma-aminobutyric acid type A receptor pi subunit	5	170763350-170814047	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB014883	Uncertain				Cervical cancer:3.37e-4 (favourable)	Mixed	Expressed in all			breast: 177.0	Cell line enhanced		A-431: 184.7;EFO-21: 182.4;PC-3: 293.8
GABRQ	THETA	ENSG00000268089	Gamma-aminobutyric acid type A receptor theta subunit	X	152638183-152657534	FDA approved drug targets, Predicted membrane proteins	Evidence at transcript level							Tissue enhanced	Tissue enhanced		cerebral cortex: 6.6;cervix, uterine: 12.9	adrenal gland: 3.0	Group enriched	7	HeLa: 8.2;SiHa: 12.7;U-87 MG: 37.4
GABRR1		ENSG00000146276	Gamma-aminobutyric acid type A receptor rho1 subunit	6	89177501-89231278	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level							Not detected	Tissue enriched	6	testis: 1.8	placenta: 0.3	Cell line enhanced		NTERA-2: 1.2
GABRR2		ENSG00000111886	Gamma-aminobutyric acid type A receptor rho2 subunit	6	89257208-89315299	FDA approved drug targets, Predicted membrane proteins	Evidence at transcript level							Not detected	Not detected			adrenal gland,appendix,cerebral cortex,endometrium,gallbladder,lymph node,skin,spleen,testis,thyroid gland: 0.1	Not detected		
GABRR3		ENSG00000183185	Gamma-aminobutyric acid type A receptor rho3 subunit (gene/pseudogene)	3	97986673-98035304	FDA approved drug targets, Predicted membrane proteins	No evidence							Not detected	Not detected			testis: 0.2	Not detected		
GAMT	PIG2, TP53I2	ENSG00000130005	Guanidinoacetate N-methyltransferase	19	1397026-1401570	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA051806	Approved				Stomach cancer:6.57e-4 (unfavourable)	Tissue enriched	Group enriched	5	epididymis: 173.0;liver: 158.9;skeletal muscle: 425.6	pancreas: 48.1	Mixed		
